NFC;TITULO;ALBUM;ESTRUCTURA;TIPO;PITCH;UBI;CARATULA
MS019;B2. Ruboy vs shock - Chernobil;Ruboy vs DJ Counter - Ride On The Stars;"2i+4h1+2s1+4h2+(2+8""+8)s2+4h3+2s3-7f";melodia;3,02;5-019;5-019.png
MS020;A1. Chasis - Back To The Roots;Chasis - Back To The Roots;"2i+4h1+(8""+5)s1+4h2+2s2+2h3+2s3-8f";melodia;6,22;5-020;5-020.png
MS020;A2. Chasis - Back To The Roots (Without Voice);Chasis - Back To The Roots;"2i+4h1+(8""+5)s1+4h2+2s2+2h3+2s3-8f";melodia;6,00;5-020;5-020.png
MS020;B1. Chasis - The Drift;Chasis - Back To The Roots;2i+4h1+3s1+4h2+4s2-8f;jumper;12,76;5-020;5-020.png
MS020;B2. Ricardo F & 2 Worlds - Rhapsody;Chasis - Back To The Roots;"2i+4h1+(8""+6)s1+4h2+(1+8"")s2+(1+24"")h3+2s3-6f";melodia;9,38;5-020;5-020.png
MS021;A1. Starting Now;DJ Caësar 9114 Vol 7 - Start;4i+4h1+2s1+4h2+4s2-6f;cantada;4,08;5-021;5-021.png
MS021;A2. Tremendo;DJ Caësar 9114 Vol 7 - Start;2i+6h1+4s1+4h2+1s2+2h3+3s3-6f;melodia;4,04;5-021;5-021.png
MS021;B1. Misterio;DJ Caësar 9114 Vol 7 - Start;2i+6h1+4s1+4h2+2s2+2h3+4s3-8f;melodia;1,68;5-021;5-021.png
MS021;B2. Stylo Base;DJ Caësar 9114 Vol 7 - Start;4i+6h1+1s1+6h2+7s2-8f;base;2,76;5-021;5-021.png
MS022;A1. Ruboy Vs Xeps - Just Can't Stop;Ruboy vs Xeps - Party Coordinates;4i+4h1+4s1+4h2+2s2+4h3+2s3-8f;melodia;4,42;5-022;5-022.png
MS022;A2. Ruboy Vs Xeps - Baso-T;Ruboy vs Xeps - Party Coordinates;2i+6h1+4s1+4h2+6s2-8f;base;4,96;5-022;5-022.png
MS022;B1. Ruboy Vs Xeps - Prezioso;Ruboy vs Xeps - Party Coordinates;"2i+6h1+(16""+4)s1+8h2+2s2-8f";melodia;5,72;5-022;5-022.png
MS022;B2. Ruboy Vs Xeps - Ho Whao 2;Ruboy vs Xeps - Party Coordinates;2i+6h1+4s1+4h2+2s2+4h3+2s3-8f;melodia;5,14;5-022;5-022.png
MS023;A1. Freddy & Melocko - Ki Yu Harmony;Various - La Makina Que Nos Pario Vol 2;2i+10h1+5s1+4h2+2s2+4h3+2s3-8f;melodia;2,90;5-023;5-023.png
MS023;A2. A-Light & Garrys - LMQNP Base;Various - La Makina Que Nos Pario Vol 2;2i+4h1+4s1+8h2+2s2-8f;base;3,02;5-023;5-023.png
MS023;B1. Bastix & Glass - Glasstix;Various - La Makina Que Nos Pario Vol 2;"4i+6h1+(2+16""+4)s1+(4+8""+4)h2+4s2-8f";melodia;3,22;5-023;5-023.png
MS023;B2. LMQNP - Full Equip Base;Various - La Makina Que Nos Pario Vol 2;4i+4h1+4s1+4h2+6s2-8f;base;3,18;5-023;5-023.png
MS024;A1. Hell Song;Akuma No Dj's - Made In Hell;"4i+4h1+(16""+6)s1+8h2+2s2-8f";melodia;3,02;5-024;5-024.png
MS024;A2. Hell Base;Akuma No Dj's - Made In Hell;4i+4h1+4s1+4h2+2s2+4h3+6s3-8f;base;3,12;5-024;5-024.png
MS024;B1. Hell Fussion (Dj Xory & DJ Fini Bass Fussion Tribute);Akuma No Dj's - Made In Hell;4i+4h1+4s1+4h2+8s2-8f;base;2,86;5-024;5-024.png
MS024;B2. The Journey;Akuma No Dj's - Made In Hell;4i+4h1+4s1+4h2+2s2+4h3+4s3-9f;melodia;-13,50;5-024;5-024.png
MS025;A1. Ruboy vs Tanki & Osram - Liquid Silence;Various - Ruboy Collection;Proximamente;cantada;0,00;5-025;5-025.png
MS025;A2. DJ Tampo & K-rlo-S DJ - La Niña Mecanica;Various - Ruboy Collection;Proximamente;melodia;0,00;5-025;5-025.png
MS025;B1. Ruboy & John Brown - Imboka;Various - Ruboy Collection;Proximamente;melodia;0,00;5-025;5-025.png
MS025;B2. Ruboy - Error 41;Various - Ruboy Collection;Proximamente;melodia;0,00;5-025;5-025.png
MS026;A1. Keeping Makina Alive;Makineros 90's - Makineros 90's Vol.1;Proximamente;cantada;0,00;5-026;5-026.png
MS026;B1. Makina Rising;Makineros 90's - Makineros 90's Vol.1;Proximamente;cantada;0,00;5-026;5-026.png
MS026;B2. Basesina;Makineros 90's - Makineros 90's Vol.1;Proximamente;base;0,00;5-026;5-026.png
MS027;A1. Ruboy vs DJ Nau - Join Me;Ruboy vs DJ Nau - Join Me;Proximamente;cantada;0,00;5-027;5-027.png
MS027;A2. Ruboy vs DJ Nau - KM X;Ruboy vs DJ Nau - Join Me;Proximamente;melodia;0,00;5-027;5-027.png
MS027;B1. Ruboy vs DJ Nau - Hyperbase 2025;Ruboy vs DJ Nau - Join Me;Proximamente;base;0,00;5-027;5-027.png
MS027;B2. DaGa vs DJ Nau - Energize;Ruboy vs DJ Nau - Join Me;Proximamente;melodia;0,00;5-027;5-027.png
